127.0.0.1 - - [02/Aug/2020:05:28:14 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:33 +0900] "GET /orm/index.jsp HTTP/1.1" 200 22218
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:33 +0900] "GET /orm/img/core-img/salad.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:33 +0900] "GET /orm/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:34 +0900] "GET /orm/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:34 +0900] "GET /orm/fonts/classy.ttf?fftrrv HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:34 +0900] "GET /orm/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:34 +0900] "GET /orm/fonts/classy.woff?fftrrv HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:34 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "GET /orm/MyPage.do HTTP/1.1" 200 16334
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "GET /orm/css/contents.css HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "GET /orm/img/core-img/salad.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "GET /orm/img/core-img/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "GET /orm/img/button/btn_first.gif HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "GET /orm/img/button/btn_prev.gif HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "GET /orm/img/button/btn_next.gif HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "GET /orm/img/button/btn_last.gif HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "GET /orm/css/global.css HTTP/1.1" 200 5471
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "GET /orm/css/layout.css HTTP/1.1" 200 3591
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "GET /orm/css/board.css HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "GET /orm/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "GET /orm/fonts/classy.ttf?fftrrv HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:38 +0900] "POST /orm/memberInfo.do HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:39 +0900] "POST /orm/mySeatList.do HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:39 +0900] "GET /orm/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:39 +0900] "GET /orm/fonts/classy.woff?fftrrv HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:39 +0900] "GET /orm/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:45 +0900] "GET /orm/logOut.do HTTP/1.1" 200 22212
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:45 +0900] "GET /orm/img/core-img/salad.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:45 +0900] "GET /orm/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:45 +0900] "GET /orm/fonts/classy.ttf?fftrrv HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:45 +0900] "GET /orm/mainMovieList.do HTTP/1.1" 200 5166
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:45 +0900] "GET /orm/fonts/classy.woff?fftrrv HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:45 +0900] "GET /orm/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:45 +0900] "GET /orm/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:47 +0900] "GET /orm/signin.do HTTP/1.1" 200 3571
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:47 +0900] "GET /orm/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:47 +0900] "GET /orm/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:47 +0900] "GET /orm/fonts/Linearicons-Free-v1.0.0/icon-font.min.css HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:47 +0900] "GET /orm/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [02/Aug/2020:05:32:47 +0900] "GET /orm/vendor/animate/animate.css HTTP/1.1" 404 792
